id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K09B1C0BM4N04VWB5357NH36	HK - ELIAS PX112A	Enceintes de Sonorisation	ELIAS PX112A									Enceintes de Sonorisation	Sono
01K09B1G5R70FTSNZ0X65FRK49	HK - ELIAS PX115 SUB	Enceintes de Sonorisation	ELIAS PX115 SUB									Enceintes de Sonorisation	Sono
01K09B1MB28QM4878MXTA78GGE	MACKIE - SRM 450V2	Enceintes de Sonorisation	SRM 450V2									Enceintes de Sonorisation	Sono
01K09B1R3VXEG6EVDHCCFZ7ZTY	MACKIE - SWA1501 SUB	Enceintes de Sonorisation	SWA1501 SUB									Enceintes de Sonorisation	Sono
01K09B1WAP8B1ZNHX96EJJR57D	YAMAHA  - DXR8	Enceintes de Sonorisation	DXR8									Enceintes de Sonorisation	Sono
01K09B20H0VYG7AJJ0HQA52YA8	YAMAHA  - DXR10	Enceintes de Sonorisation	DXR10									Enceintes de Sonorisation	Sono
01K09B24PT0SMZT2XT457ACFNJ	YAMAHA - DXR12	Enceintes de Sonorisation	DXR12									Enceintes de Sonorisation	Sono
01K09B28W906P17NXHPED20T65	YAMAHA  - DXS12 SUB	Enceintes de Sonorisation	DXS12 SUB									Enceintes de Sonorisation	Sono
