id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K098SNGEV08NVEVB606G34KY	ROLAND - KC-990	Amplis clavier	KC-990									Amplis clavier	Keyboards
01K098SSERJXB96XRZE2W3ACMS	ROLAND  - KC550	Amplis clavier	KC550									Amplis clavier	Keyboards
01K098SX9X2CW42RFGTPTSABB0	ROLAND  - KC500	Amplis clavier	KC500									Amplis clavier	Keyboards
01K098T16TSXGAKZ0NZ0BHW90A	ROLAND  - KC350	Amplis clavier	KC350									Amplis clavier	Keyboards
01K098T4TMPCST4NCBFHDXM67S	ROLAND  - KC150	Amplis clavier	KC150									Amplis clavier	Keyboards
01K098T8QWY56NH1VGMZS8MX77	ROLAND - KC-200	Amplis clavier	KC-200									Amplis clavier	Keyboards
01K42RYXH00WB8Z76A2YQTQNG8	PEAVEY - KB 100	Amplis clavier	KB 100									Amplis clavier	Keyboards
