id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0993K0EZ3GJDQKBX174Q41Q	PIONEER  - PLX1000 VINYL	Platine vinyl / Vinyl	PLX1000 VINYL									Platine vinyl / Vinyl	DJ
01K0993Q1WW26ZAYMNZMXA1EY8	RANE - TWELVE	Platine vinyl / Vinyl	TWELVE									Platine vinyl / Vinyl	DJ
01K0993V5DYTRBP5BVWGJQZZKY	TECHNICS - SL1200GR	Platine vinyl / Vinyl	SL1200GR									Platine vinyl / Vinyl	DJ
01K0993Z86226WZDS66D1QDZ0M	TECHNICS - SL1200M5G	Platine vinyl / Vinyl	SL1200M5G									Platine vinyl / Vinyl	DJ
01K099439M03XT85RRNZ84G7GH	TECHNICS - SL1200MK5	Platine vinyl / Vinyl	SL1200MK5									Platine vinyl / Vinyl	DJ
01K09947CM2B63130ECK9QCP3T	TECHNICS - SL1200MK2	Platine vinyl / Vinyl	SL1200MK2									Platine vinyl / Vinyl	DJ
01K42RYS7G2TTSY50F6JAWXN5H	TECHNICS - SL 1210 M3D	Platine vinyl / Vinyl	SL 1210 M3D									Platine vinyl / Vinyl	DJ
01K42RYSEN5KF0JDE3YP9M79EA	TECHNICS - SL1210 MK2	Platine vinyl / Vinyl	SL1210 MK2									Platine vinyl / Vinyl	DJ
