id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K09814WPG1GP870HG691XS5D	CLEARSONIC - PLEXI BATTERIE	Accessoires de Batterie	PLEXI BATTERIE									Accessoires de Batterie	Drums
01K09818CDM6H3SZME2D1JTXSZ	DW,YAMAHA,TAMA,PEARL,SONOR - PEDALE GROSSE CAISSE/KICK PEDAL	Accessoires de Batterie	PEDALE GROSSE CAISSE/KICK PEDAL									Accessoires de Batterie	Drums
01K0981BVSPP5A1DFN7W3BF60R	DW,GIBRALTAR,TAMA,YAMAHA - SIEGE BATTERIE/DRUM STOOL	Accessoires de Batterie	SIEGE BATTERIE/DRUM STOOL									Accessoires de Batterie	Drums
01K0981FFKVQHCDZAWX163ZHNF	PEARL  - BUTTKICKER VIBREUR / THRONE THUMPER	Accessoires de Batterie	BUTTKICKER VIBREUR / THRONE THUMPER									Accessoires de Batterie	Drums
01K0981K0ZC6AZPDDV5B9AD15Q	PORTER & DAVIES BC-2 - BC-2 buttkicker	Accessoires de Batterie	BC-2 buttkicker									Accessoires de Batterie	Drums
01K0981Q9GMQEG2SX2HGTHPZRG	ROC'N'SOC - DRUM THRONE W/BACK REST	Accessoires de Batterie	DRUM THRONE W/BACK REST									Accessoires de Batterie	Drums
01K0981TV8KSK60GGEFMPTTXG6	PROTECTIONRACKET - TAPIS BATTERIE / DRUM MATE	Accessoires de Batterie	TAPIS BATTERIE / DRUM MATE									Accessoires de Batterie	Drums
01K0981YCDSSW3HAMGHQTS79ZS	YAMAHA  - SUBKICK	Accessoires de Batterie	SUBKICK									Accessoires de Batterie	Drums
01K09821X6HH98MEBRB7VVNNZJ	YAMAHA - FP9C - FP9D - FP9CL	Accessoires de Batterie	FP9C - FP9D - FP9CL									Accessoires de Batterie	Drums
